Activity_Id,Landing_Airport, Airline_Name,Operating_Airline_IATA_Code,Landing_Date,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_ Aircraft_ Type,Aircraft_Body_Type,Aircraft Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight,Landing_Status
81428,Bozeman Yellowstone International Airport (Gallatin Field Airport),Delta Air Lines,DL,22-02-21,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,400,62,21700000,1
62040,Columbia Metropolitan Airport,EVA Airways,BR,23-02-21,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,400,57,35853000,0
72484,Akron-Canton Regional Airport,EVA Airways,BR,24-02-21,EVA Airways,BR,International,Asia,Passenger,Wide Body,McDonnell Douglas,MD-11,0,4,1884000,1
16384,Cedar City Regional Airport,Evergreen International Airlines,EZ,25-02-21,Evergreen International Airlines,EZ,Domestic,US,Freighter,Wide Body,Boeing,747,100,1,585000,0
110234,Merle K. (Mudhole) Smith Airport,Federal Express,FX,01-03-21,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,46,17250000,0
47807,Del Norte County Airport (Jack McNamara Field),Federal Express,FX,02-03-21,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,1,436000,0
176954,Chattanooga Metropolitan Airport (Lovell Field),Federal Express,FX,03-03-21,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,,20,9630000,0
181423,Charlottesville-Albemarle Airport,Frontier Airlines,F9,04-03-21,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,,28,3458000,0
87261,Charleston International Airport/Charleston AFB,Frontier Airlines,F9,05-03-21,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,,147,19771500,1
117845,The Eastern Iowa Airport,Hawaiian Airlines,HA,07-03-21,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,300,31,9920000,1
144217,Chippewa County International Airport,Horizon Air,QX,08-03-21,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,93,6231000,0
74413,McClellan-Palomar Airport,Icelandair (Inactive),FI,09-03-21,Icelandair (Inactive),FI,International,Europe,Passenger,Wide Body,Boeing,767,300ER,17,5440000,0
228041,Cleveland Hopkins International Airport,Independence Air,DH,10-03-21,Independence Air,DH,Domestic,US,Passenger,Narrow Body,Airbus,A319,,93,12815400,0
142084,Easterwood Airport,Japan Airlines,JL,11-03-21,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,747,200,50,31500000,1
3930,Charlotte Douglas International Airport,Japan Airlines,JL,12-03-21,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000,1
226294,Port Columbus International Airport,KLM Royal Dutch Airlines,KL,13-03-21,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,777,200,31,14570000,1
134406,University of Illinois - Willard Airport,Kalitta Air,K4,14-03-21,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,200,9,5670000,1
228271,Houghton County Memorial Airport,Kitty Hawk Air Cargo,KR,15-03-21,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,727,200,11,1754000,1
72050,Canyonlands Field,Kitty Hawk Air Cargo,KR,16-03-21,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,737,300,14,1632400,0
229925,Yellowstone Regional Airport,Korean Air Lines,KE,17-03-21,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400,8,5224000,1
103411,City of Colorado Springs Municipal Airport,Korean Air Lines,KE,18-03-21,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,,19,12388000,0
128402,Columbia Regional Airport,Korean Air Lines,KE,19-03-21,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,200,22,10120000,0
150836,Natrona County International Airport,Lufthansa German Airlines,LH,20-03-21,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,430,31,19530000,0
33903,Corpus Christi International Airport,Lufthansa German Airlines,LH,21-03-21,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,31,17701000,1
139817,Yeager Airport,Mesa Airlines,YV,22-03-21,US Airways,US,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,900,35,2572500,0
23483,Columbus Metropolitan Airport,Mexicana Airlines,MX,23-03-21,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A318,,1,126770,1
188972,Cincinnati/Northern Kentucky International Airport,Mexicana Airlines,MX,24-03-21,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,,20,2690000,0
136697,Central Wisconsin Airport,Mexicana Airlines,MX,25-03-21,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,,42,5972400,1
167891,Daytona Beach International Airport,Midwest Airlines,YX,26-03-21,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,,31,4324500,0
142984,Dallas Love Field,Nippon Cargo Airlines,KZ,27-03-21,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,200,48,30240000,1
153593,James M. Cox Dayton International Airport,Northwest Airlines (became Delta),NW,28-03-21,Northwest Airlines (became Delta),NW,Domestic,US,Freighter,Wide Body,Boeing,747,200,3,1890000,1
175630,Dubuque Regional Airport,Northwest Airlines (became Delta),NW,29-03-21,Northwest Airlines (became Delta),NW,International,Asia,Freighter,Wide Body,Boeing,747,200,1,639000,0
83206,Ronald Reagan Washington National Airport,Northwest Airlines (became Delta),NW,30-03-21,Northwest Airlines (became Delta),NW,Domestic,US,Passenger,Narrow Body,Boeing,757,300,93,20832000,1
154562,Denver International Airport,Northwest Airlines (became Delta),NW,31-03-21,Northwest Airlines (became Delta),NW,Domestic,US,Passenger,Narrow Body,Boeing,757,,185,36630000,0
186288,Dallas/Fort Worth International Airport,Northwest Airlines (became Delta),NW,01-04-21,Northwest Airlines (became Delta),NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,,9,1209600,0
115426,Dothan Regional Airport,Northwest Airlines (became Delta),NW,02-04-21,Northwest Airlines (became Delta),NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,,83,11802600,1
193548,Dickinson Theodore Roosevelt Regional Airport,Northwest Airlines (became Delta),NW,03-04-21,Northwest Airlines (became Delta),NW,International,Asia,Passenger,Wide Body,Airbus,A330,223,31,12437200,1
2696,Dillingham Airport,Philippine Airlines,PR,04-04-21,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,400,28,17640000,0
161968,Duluth International Airport,Philippine Airlines,PR,05-04-21,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,300,8,3351040,1
75589,Durango-La Plata County Airport,Singapore Airlines,SQ,06-04-21,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,747,400,33,20790000,0
84616,Des Moines International Airport,Singapore Airlines,SQ,07-04-21,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,747,,2,1331600,1
30577,Detroit Metropolitan Airport,Singapore Airlines,SQ,08-04-21,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14230550,0
209199,Devils Lake Regional Airport,SkyWest Airlines,OO,09-04-21,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,500,155,7285000,1
33733,Chippewa Valley Regional Airport,SkyWest Airlines,OO,10-04-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,600,268,17956000,0
24541,Northwest Florida Beaches International Airport,SkyWest Airlines,OO,11-04-21,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,600,62,4154000,0
216941,Eagle County Regional Airport,SkyWest Airlines,OO,12-04-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,1360,63920000,0
229271,Elko Regional Airport,SkyWest Airlines,OO,13-04-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Turbo Prop,Embraer,ERJ,120,1655,42699000,0
112707,Elmira/Corning Regional Airport,Sun Country Airlines,SY,14-04-21,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,800,31,4533500,0
81509,El Paso International Airport,"TACA International Airlines, S.A.",TA,15-04-21,"TACA International Airlines, S.A.",TA,International,Central America,Passenger,Narrow Body,Airbus,A320,,62,8816400,1
84584,Erie International Airport,Tradewinds Airlines,WI,16-04-21,Tradewinds Airlines,WI,Domestic,US,Freighter,Wide Body,Boeing,747,200B,8,5040000,1
46787,Delta County Airport,US Airways,US,17-04-21,US Airways,US,Domestic,US,Passenger,Narrow Body,Boeing,737,300,144,16426400,0
142234,Eugene Airport (Mahlon Sweet Field),US Airways,US,18-04-21,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,,148,20379700,0
83312,Evansville Regional Airport,US Airways,US,19-04-21,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,,100,14213600,0
64930,Coastal Carolina Regional Airport (Craven County Regional),US Airways,US,20-04-21,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,,259,44418500,1
120839,Newark Liberty International Airport,United Airlines,UA,21-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,200,1,98000,1
74916,Key West International Airport,United Airlines,UA,22-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,500,4,440000,1
104512,Fairbanks International Airport,United Airlines,UA,23-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,700,76,9728000,1
107962,Hector International Airport,United Airlines,UA,24-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,800,199,28656000,1
73254,Fresno Yosemite International Airport,United Airlines,UA,25-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,900,26,3829800,0
223853,Fayetteville Regional Airport,United Airlines,UA,26-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,,68,7752000,1
148056,Glacier Park International Airport,United Airlines,UA,27-04-21,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,200,61,12078000,0
19600,Flagstaff Pulliam Airport,United Airlines,UA,28-04-21,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,300,1,350000,0
95496,Fort Lauderdale-Hollywood International Airport,United Airlines - Pre 07/01/2013,UA,29-04-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,300,410,46740000,0
101943,Bishop International Airport,United Airlines - Pre 07/01/2013,UA,30-04-21,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Boeing,737,322,124,14136000,1
64270,Sioux Falls Regional Airport,United Airlines - Pre 07/01/2013,UA,01-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,500,88,9680000,0
16983,Fort Smith Regional Airport,United Airlines - Pre 07/01/2013,UA,02-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,747,422,39,24570000,1
39173,Fort Wayne International Airport,United Airlines - Pre 07/01/2013,UA,03-05-21,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,747,422,155,97650000,0
100003,Gillette-Campbell County Airport,United Airlines - Pre 07/01/2013,UA,04-05-21,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,422,31,19530000,1
158244,Garden City Regional Airport,United Airlines - Pre 07/01/2013,UA,05-05-21,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,31,19530000,0
198948,Spokane International Airport,United Airlines - Pre 07/01/2013,UA,06-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,,1298,257004000,1
47154,Grand Forks International Airport,United Airlines - Pre 07/01/2013,UA,07-05-21,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Boeing,757,,5,990000,1
209118,East Texas Regional Airport,United Airlines - Pre 07/01/2013,UA,08-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,300,173,51900000,0
208001,Grand Junction Regional Airport (Walker Field),United Airlines - Pre 07/01/2013,UA,09-05-21,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,767,300,31,9300000,1
62576,Gainesville Regional Airport,United Airlines - Pre 07/01/2013,UA,10-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,85,27200000,0
194634,Gulfport-Biloxi International Airport,United Airlines - Pre 07/01/2013,UA,11-05-21,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,777,222,93,42780000,0
178068,Green Bay-Austin Straubel International Airport,United Airlines - Pre 07/01/2013,UA,12-05-21,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,777,222,62,28520000,1
226641,Central Nebraska Regional Airport,United Airlines - Pre 07/01/2013,UA,13-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,61,28060000,1
176250,Killeen-Fort Hood Regional Airport,United Airlines - Pre 07/01/2013,UA,14-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,,99,44055000,0
115251,Gerald R. Ford International Airport,United Airlines - Pre 07/01/2013,UA,15-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,691,95219800,1
79784,Piedmont Triad International Airport,United Airlines - Pre 07/01/2013,UA,16-05-21,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,872,123998400,0
90712,Greenville-Spartanburg International Airport,United Airlines - Pre 07/01/2013,UA,17-05-21,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,31,4408200,1
180027,Gustavus Airport,United Airlines - Pre 07/01/2013,UA,18-05-21,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,232,36,5119200,0
136816,Great Falls International Airport,Virgin Atlantic,VS,19-05-21,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,400,31,19530000,1
109261,Golden Triangle Regional Airport,WestJet Airlines,WS,20-05-21,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,700,21,2713200,0
157197,Gunnison-Crested Butte Regional Airport,WestJet Airlines,WS,21-05-21,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,800,1,146300,0
169550,Guam International Airport,ABX Air,GB,22-05-21,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,30,41,4144000,0
145761,Yampa Valley Airport (Yampa Valley Regional),ABX Air,GB,23-05-21,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,4,408000,0
176467,Range Regional Airport (Chisholm-Hibbing Airport),ATA Airlines,TZ,24-05-21,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146300,0
138297,Helena Regional Airport,ATA Airlines,TZ,25-05-21,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,200,3,594000,1
110683,Honolulu International Airport,ATA Airlines,TZ,26-05-21,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,300,159,35616000,1
102179,Lea County Regional Airport,Air Canada,AC,27-05-21,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,173,23268500,0
178092,William P. Hobby Airport,Air Canada,AC,28-05-21,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,129,18318000,0
151342,Westchester County Airport,Air Canada,AC,29-05-21,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,1,171520,0
223228,Valley International Airport,Air China,CA,30-05-21,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,16,10080000,1
93727,Huntsville International Airport,Air France,AF,31-05-21,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,400,31,18815700,1
185651,Barnstable Municipal Airport,Air New Zealand,NZ,01-06-21,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400,13,8190000,1
203616,Hays Regional Airport,AirTran Airways,FL,02-06-21,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,62,7936000,1
120887,Washington Dulles International Airport,Alaska Airlines,AS,03-06-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,298,36058000,1
31150,Niagara Falls International Airport,Alaska Airlines,AS,04-06-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,31,3751000,0
29848,George Bush Intercontinental Airport,Alaska Airlines,AS,05-06-21,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,89,10769000,1
172412,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Alaska Airlines,AS,06-06-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,35,4522000,0
137362,Idaho Falls Regional Airport,Alaska Airlines,AS,07-06-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,1,129200,0
208015,Wilmington Airport,Alaska Airlines,AS,08-06-21,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,700,1,129200,0
100128,Wilmington International Airport,Alaska Airlines,AS,09-06-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,1,146300,1
165026,Ford Airport,Alaska Airlines,AS,10-06-21,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,3,390000,0
119237,Indianapolis International Airport,Alaska Airlines,AS,11-06-21,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,37,4810000,1
129772,Falls International Airport,Alaska Airlines,AS,12-06-21,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,,60,7800000,0
120431,Sloulin Field International Airport,All Nippon Airways,NH,13-06-21,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,200ER,31,14260000,1
114086,Long Island MacArthur Airport,American Airlines,AA,14-06-21,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,200,39600000,0
153082,Ithaca Tompkins Regional Airport,American Airlines,AA,15-06-21,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,62,16740000,1
